Request,Incident,WebServices,Login,Wireless,Printing,IdCards,Staff,Students,Response Team
0,1,1,1,1,0,0,0,0,0
1,0,1,0,1,0,1,1,0,0.25
0,0,0,1,1,1,0,1,0,0.50
0,1,1,0,0,0,1,1,0,0.75
0,1,1,1,1,1,0,0,1,0
0,1,1,1,1,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1
0,0,1,1,1,0,0,0,0,0.50
1,0,0,0,0,1,0,1,0,1
0,1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1
1,0,1,0,1,0,1,0,0,0.25
1,0,1,0,1,0,1,0,0,0.25
0,1,1,1,1,1,0,0,1,0
0,0,0,0,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0.25
1,1,0,1,0,0,0,0,1,0.50
1,0,0,0,1,1,0,1,0,1
0,0,1,0,1,0,1,0,0,0.25
0,1,1,0,0,0,1,1,0,0.75
1,1,0,1,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0.25
0,1,1,0,0,0,1,1,0,0.75
0,1,1,0,0,0,1,1,0,0.75
0,0,0,1,1,0,0,0,1,0.50
1,0,1,0,0,1,1,1,1,1
0,0,1,0,0,0,0,1,1,0.75
0,0,0,0,0,0,0,0,1,0.75
0,1,0,1,1,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0.75
0,0,0,0,0,1,0,1,0,1
0,0,1,0,1,1,1,0,0,0.25
0,1,1,1,1,0,0,0,0,0
1,0,1,0,1,0,1,0,0,0.25
0,1,1,1,1,1,0,0,1,0
0,1,1,0,0,0,1,1,0,0.75
0,0,0,0,1,1,1,0,1,1
0,1,1,0,0,0,1,1,0,0.75
0,1,1,1,1,1,0,0,1,0
1,0,0,0,1,1,1,1,1,1
1,1,0,1,1,0,0,0,1,0.50
1,1,0,1,1,1,0,0,1,0.50
1,0,1,0,0,0,1,0,1,0.25
0,1,1,1,1,1,0,0,1,0
0,1,0,1,1,0,1,0,0,0
1,1,0,1,1,0,0,0,1,0.50
0,0,1,0,1,0,0,0,0,0.25
0,0,0,1,0,0,0,0,1,0.50
0,0,1,0,0,0,0,0,0,0.25
0,0,0,1,1,1,0,0,1,0.50
0,0,0,1,1,0,0,0,1,0.50
0,1,1,1,1,0,0,0,0,0
0,1,1,1,1,0,1,0,0,0
1,0,1,0,0,0,0,1,1,0.75
0,0,1,0,1,0,1,0,0,0.25
0,0,0,0,1,1,0,0,1,0.50
1,0,0,0,0,1,1,0,1,1
0,0,0,1,0,0,0,0,1,0.50
0,0,0,0,1,0,1,0,1,1
0,0,0,0,0,1,1,1,1,1
0,1,1,0,0,0,1,1,0,0.75
0,0,0,0,0,1,1,0,1,1
1,0,1,0,1,0,0,0,0,0.25
0,1,1,1,1,1,0,0,1,0
1,0,1,0,0,0,0,0,1,0.75
0,1,0,0,0,1,0,0,0,1
1,0,1,0,1,0,1,0,0,0.25
1,1,0,0,0,1,0,0,1,0.50
0,0,1,0,1,0,0,0,0,0.25
0,0,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,0,1,0
0,0,1,0,0,0,1,1,0,0.75
0,0,1,0,1,0,1,0,0,0.25
1,0,1,0,0,1,1,1,1,1
1,0,0,0,0,1,0,1,0,1
1,0,0,0,1,1,1,1,1,1
1,0,1,0,0,0,0,0,1,0.75
0,0,0,0,1,0,1,0,1,1
0,1,1,1,1,0,0,0,0,0
1,1,0,1,1,1,0,0,0,0.50
0,0,0,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,1,0.50
1,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,1,1,0.75
0,0,0,1,1,0,0,0,1,0.50
0,0,0,0,1,0,1,0,1,1
0,0,1,0,1,0,1,1,0,0.25
1,0,1,0,0,0,1,0,1,0.25
1,0,1,0,0,0,1,0,1,0.25
1,1,0,1,1,1,0,0,0,0.50
0,0,0,1,1,1,0,0,0,0.50
0,0,1,0,1,0,1,0,0,0.25
0,1,1,0,0,0,1,1,0,0.75
0,1,1,1,1,1,0,0,1,0
1,1,0,1,0,0,0,0,1,0.50
1,0,0,0,0,0,0,0,1,0.75
0,1,0,1,1,0,1,0,1,1
0,0,1,0,0,1,1,1,1,1
1,1,0,0,1,1,0,0,1,0.50
0,0,1,0,0,0,0,0,0,0.25
0,1,1,0,0,0,1,1,0,0.75
0,1,1,0,0,0,1,0,0,0.75
1,0,1,0,1,0,0,0,0,0.25
0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0.25
1,0,0,0,1,1,0,1,0,1
0,0,1,1,1,0,0,0,0,0.50
0,0,0,0,0,0,0,1,1,0.75
1,0,0,0,0,1,1,1,1,1
0,0,1,0,1,0,1,0,0,0.25
0,1,0,0,1,0,1,1,0,0.75
1,0,1,0,1,0,1,0,0,0.25
0,1,1,1,1,1,0,0,1,0
0,1,1,1,1,0,0,0,0,0
1,0,0,0,1,1,1,0,1,1
1,1,0,1,1,1,0,0,1,0.50
0,0,0,1,1,1,0,1,0,0.50
0,0,0,0,1,0,1,0,1,1
0,1,1,0,0,0,1,1,0,0.75
1,0,0,0,1,1,1,0,1,1
1,0,0,0,1,1,1,1,1,1
1,0,1,0,0,0,0,1,1,0.75
0,1,1,1,1,1,0,0,1,0
0,0,1,0,1,0,0,0,0,0.25
0,0,0,0,1,1,0,0,0,1
1,1,0,1,1,1,0,0,1,0.50
0,1,0,1,1,0,1,0,0,0
1,0,1,0,0,0,1,0,0,0.25
1,0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,0,0,1,0.50
0,1,1,1,1,0,0,0,0,0
0,1,1,1,1,1,0,0,1,0
1,0,1,0,1,0,1,0,0,0.25
1,1,0,1,1,0,0,0,1,0.50
1,1,0,1,1,1,0,0,1,0.50
0,1,1,1,1,1,0,1,1,0
0,1,1,1,1,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0.75
0,0,0,0,0,1,0,0,1,0.50
0,0,1,0,1,0,0,0,0,0.25
0,1,1,1,1,0,0,0,0,0
1,1,0,1,1,1,0,0,0,0.50
0,1,0,0,0,1,0,0,0,1
0,0,1,1,1,0,0,0,0,0.50
0,1,1,0,0,0,1,1,0,0.75
1,1,0,1,1,1,0,0,0,0.50
1,0,1,0,1,0,0,0,0,0.25
0,0,0,1,1,1,0,1,0,0.50
1,0,1,0,1,1,1,0,0,0.25
0,1,1,0,0,0,1,1,0,0.75
0,0,1,0,0,0,1,1,0,0.75
1,1,0,1,1,1,0,0,0,0.50
1,0,1,0,0,0,1,0,0,0.25
0,0,0,1,1,0,0,0,1,0.50
0,1,1,0,0,0,1,1,0,0.75
1,0,1,0,0,0,0,1,1,0.75
1,1,0,1,1,1,0,0,0,0.50
0,0,1,0,1,0,1,0,0,0.25
0,0,1,0,1,0,0,0,0,0.25
0,0,1,0,1,0,0,0,0,0.25
0,1,1,1,1,1,0,1,1,0
0,1,1,1,1,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0.25
0,0,0,0,1,1,0,0,1,0.50
0,1,1,0,0,0,1,1,0,0.75
1,1,0,0,0,1,0,0,1,0.50
0,0,0,1,1,0,0,0,1,0.50
1,0,0,0,0,1,0,1,0,1
0,1,1,1,1,1,0,0,1,0
0,1,1,0,0,0,1,1,0,0.75
0,0,0,1,0,0,0,0,1,0.50
0,1,1,0,0,0,1,0,0,0.75
0,0,0,0,1,1,1,1,1,1
0,0,0,0,1,1,1,1,1,1
0,1,1,0,0,0,1,1,0,0.75
0,0,1,0,0,0,1,0,0,0.25
1,1,0,0,0,1,0,0,1,0.50
0,1,1,1,1,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0.75
0,0,0,0,0,1,0,1,0,1
1,1,0,1,1,1,0,0,0,0.50
1,0,0,0,1,1,0,0,0,1
0,0,0,1,1,1,0,1,0,0.50
1,0,0,0,1,1,1,1,1,1
0,1,1,0,0,0,1,1,0,0.75
0,1,1,1,1,0,0,0,0,0
0,1,1,1,1,1,0,1,1,0
0,1,1,1,1,0,1,0,0,0
0,0,1,0,1,0,1,0,0,0.25
1,0,0,0,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0,0.25
0,0,0,0,1,1,1,0,1,1
0,0,0,0,1,1,1,1,1,1
0,1,1,0,0,0,1,1,0,0.75
0,1,1,1,1,1,0,0,1,0
0,0,1,0,1,0,1,1,0,0.25
0,0,0,1,1,1,0,0,1,0.50
0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,0,1,1
0,0,1,0,1,0,1,0,0,0.25
0,1,0,0,1,0,1,1,0,0.75
0,1,1,0,0,0,1,1,0,0.75
0,0,1,1,1,0,0,0,0,0.50
0,1,1,0,0,0,1,1,0,0.75
1,0,1,0,0,0,1,0,0,0.25
0,0,1,0,1,0,0,0,0,0.25
0,1,1,1,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0.25
1,0,0,0,1,1,0,1,0,1
1,0,1,0,0,0,0,0,0,0.25
0,1,1,1,1,0,0,0,0,0
1,0,0,0,1,1,1,1,1,1
0,0,0,1,1,1,0,0,0,0.50
0,0,1,0,0,0,1,1,0,0.75
1,1,0,0,0,1,0,0,1,0.50
0,1,1,1,1,1,0,0,1,0
0,1,1,0,0,0,1,1,0,0.75
0,0,1,0,0,0,0,1,1,0.75
0,1,1,0,0,0,1,1,0,0.75
0,0,0,1,1,1,0,0,0,0.50
0,1,0,1,1,0,1,0,1,1
0,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0,1,1,0,0.75
0,1,0,1,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0,1,0,0,0.75
0,1,1,1,1,0,1,0,0,0
0,0,1,0,1,1,1,0,0,0.25
1,1,1,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0.50
0,0,1,0,1,0,0,0,0,0.25
0,1,0,1,1,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0.75
0,0,1,0,0,0,1,0,0,0.25
0,0,0,0,1,1,0,0,0,1
0,0,1,0,0,0,0,0,1,0.75
1,0,1,0,1,0,0,0,0,0.25
1,0,1,0,0,0,0,1,1,0.75
0,1,1,1,1,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0.75
0,0,1,0,1,0,1,0,0,0.25
1,0,1,0,0,0,0,0,1,0.75
0,0,0,1,1,0,0,0,1,0.50
1,1,0,1,1,1,0,0,1,0.50
0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,1,0,1,1
0,1,1,1,1,0,0,0,0,0
